Form ID,Lobbyist/Registrant,Organization/Firm,Employer,Event Date,Total Cost,Groups Invited,Sponsors
E001300,"Murray, Rory ",Providence Strategies,Visit Annapolis and Anne Arundel County,01/28/25,147735.13,General Assembly,Visit Annapolis and Anne Arundel County
E001479,"Levine, Brian ",Montgomery County Chamber of Commerce,Montgomery County Chamber of Commerce,06/18/25,126664.07,Montgomery County Delegation,Montgomery County Chamber of Commerce
E001502,"Proctor, Gregory S., Jr.","G.S. Proctor & Associates, Inc. ","G.S. Proctor & Associates, Inc.",08/14/25,62293.64,"Anne Arundel County Delegation; Baltimore City Delegation; Baltimore County Delegation; Carroll County Delegation; General Assembly; Harford County Delegation; House Appropriations Committee; House Economic Matters Committee; House Environment and Transportation Committee; House Health and Government Operations Committee; House Judiciary Committee; House of Delegates; House Rules and Executive Nominations Committee; House Ways and Means Committee; Howard County Delegation; Lower Eastern Shore Delegation; Montgomery County Delegation; Prince George 's County Delegation; Senate; Senate Budget and Taxation Committee; Senate Education, Energy, and the Environment Committee (formerly Senate Education Health and Environmental Affairs Committee); Senate Executive Nominations Committee; Senate Finance Committee; Senate Judicial Proceedings Committee; Senate Rules Committee; Southern Maryland Delegation; Upper Eastern Shore Delegation; Western Maryland Delegation","G.S. Proctor & Associates, Inc.; Mayson-Dixon Companies"
E001265,"Vetter, Andrew ","Schwartz, Metz, Wise & Kauffman, P.A.",Maryland Tech Council,01/15/25,57518.4,General Assembly,Maryland Tech Council
E001487,"Yeiser, Gail Poffenberger","Maryland Agriculture Council, Inc.","Maryland Agriculture Council, Inc.",02/06/25,51038,General Assembly,"Maryland Agriculture Council, Inc."
E001468,"Wise, J. Steven","Schwartz, Metz, Wise & Kauffman, P.A.","MedChi, The Maryland State Medical Society",05/17/25,49329.46,General Assembly,"MedChi, The Maryland State Medical Society"
E001388,"Martin, G Dan ",Mental Health Association of Maryland,Mental Health Association of Maryland,02/24/25,44750,General Assembly,Mental Health Association of Maryland
E001470,"Johansen, Michael Vernon",Rifkin Weiner Livingston LLC,1/ST Racing MD LLC,05/12/25,44712,General Assembly,1/ST Racing MD LLC
E001476,"Jones, Lisa ","Harris Jones & Malone, LLC","Harris Jones & Malone, LLC",08/13/25,42205,General Assembly,"Harris Jones & Malone, LLC; Door Dash; Baltimore Orioles Limited Partnership; United Way of Central Maryland; Visit Baltimore; Chesapeake Employers' Insurance Company; Genentech; Greater Baltimore Committee; Maryland Land Title; McDonald's Corporation; Associated Builders & Contractors; Noresco; Maryland Automobile Insurance Fund; Maryland Ready Mix Concrete; Deer Creek Government Relations; Johns Hopkins"
E001227,"Wise, J. Steven","Schwartz, Metz, Wise & Kauffman, P.A.","MedChi, The Maryland State Medical Society",12/06/24,42022.87,General Assembly,"MedChi, The Maryland State Medical Society"
