Form ID,Lobbyist/Registrant,Organization/Firm,Employer,Event Date,Total Cost,Groups Invited,Sponsors
E001744,"Allen, Hannah ",Maryland Chamber of Commerce,Maryland Chamber of Commerce,03/11/26,4644.56,House Environment and Transportation Committee,Maryland Chamber of Commerce
E001743,"Allen, Hannah ",Maryland Chamber of Commerce,Maryland Chamber of Commerce,02/25/26,4624.14,Senate Finance Committee,Maryland Chamber of Commerce
E001741,"Allen, Hannah ",Maryland Chamber of Commerce,Maryland Chamber of Commerce,02/18/26,6715.97,House Ways and Means Committee,Maryland Chamber of Commerce
E001742,"Allen, Hannah ",Maryland Chamber of Commerce,Maryland Chamber of Commerce,01/29/26,6501.32,House of Delegates; Senate,Maryland Chamber of Commerce
E001736,"Baker, Brittany ",Chesapeake Climate Action Network Action Fund,Chesapeake Climate Action Network Action Fund,02/19/26,2879.4,House of Delegates,Chesapeake Climate Action Network Action Fund
E001813,"Bellamy, Lorenzo ",Bellamy Genn Group LLC,"Bellamy Genn Group, LLC",04/13/26,2450.0,General Assembly,"Bellamy Genn Group, LLC"
E001777,"Bellamy, Lorenzo ",Bellamy Genn Group LLC,Everytown for Gun Safety Action Fund,03/04/26,3043.47,House Judiciary Committee; Senate Judicial Proceedings Committee,Everytown for Gun Safety Action Fund
E001733,"Bellamy, Lorenzo ",Bellamy Genn Group LLC,Coalition for High Performance Recycling,02/17/26,4312.81,House Environment and Transportation Committee,Coalition for High Performance Recycling
E001596,"Bellamy, Lorenzo ",Bellamy Genn Group LLC,"Bellamy Genn Group, LLC",01/14/26,1161.51,General Assembly,"Bellamy Genn Group, LLC"
E001796,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Maryland State Fraternal Order of Police,03/09/26,3203.21,House Judiciary Committee; Senate Judicial Proceedings Committee,Maryland State Fraternal Order of Police
E001797,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Sports Betting Alliance,02/26/26,5082.76,House Ways and Means Committee,Sports Betting Alliance
E001555,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Maryland Tourism Coalition,02/13/26,17582.32,General Assembly,"Maryland Tourism Coalition; 1631 Digital Advertising; Baltimore Tourism Association; Discover Ocean City MD; Electric Motor Repair Company; Kent Narrows Foundation; Maryland Association of Campgrounds; Maryland Horse Breeders Assocation; Maryland Horse Industy Board; Maryland Hotel Lodging Association; Maryland SoccerPlex; Maryland's Coast - Worcester County; National Harbor; NCM; Ocean City Hotel-Motel-Restaurant Association; Phillips Foods; Residence Inn Ocean City; Southern Maryland National Heritage Area; Visit Annapolis & Anne Arundel County; Visit Baltimore; Visit Frederick; Washington Post; Wicomico County Recreation Parks, Tourism"
E001781,"Bradley, Erin ",Planned Parenthood of Maryland,Planned Parenthood of Maryland,03/19/26,1900.0,General Assembly,Planned Parenthood of Maryland
E001688,"Bryce, Joseph C",Manis Canning & Associates,Maryland Patient Care and Access Coalition,03/03/26,3235.91,Senate Finance Committee; House Health Committee,Maryland Patient Care and Access Coalition
E001528,"Campion, Louis ",Maryland Motor Truck Association,Maryland Motor Truck Association,12/03/25,6464.83,Carroll County Delegation; Western Maryland Delegation,Maryland Motor Truck Association; Frederick Brick Works; Richard B. Rudy; Lightning Transportation; Baltimore Potomac Truck Centers
E001773,"Carrington, J. Darrell ","Carrington & Associates, LLC",Maryland Community Action Partnership,02/05/26,5825.84,House of Delegates; Senate,Maryland Community Action Partnership
E001789,"Carroll, Jr., David H.","Capitol Strategies, LLC",DailyPay,03/10/26,5530.15,House Economic Matters Committee,DailyPay; EarnIn; PayActiv; Brigit
