event_date,employer,total_cost,groups_invited,category
01/14/26,Rifkin Weiner Livingston LLC,17118.54,General Assembly,Other Interest
01/27/26,Rifkin Weiner Livingston LLC,8357.47,"Senate Budget and Taxation Committee; Senate Education, Energy, and the Environment Committee (formerly Senate Education Health and Environmental Affairs Committee)",Other Interest
01/27/26,Constellation,7000.0,House Environment and Transportation Committee,Traditional Utility
01/29/26,"Choptank Electric Cooperative, Inc.",6110.47,"House Environment and Transportation Committee; Senate Education, Energy, and the Environment Committee (formerly Senate Education Health and Environmental Affairs Committee)",Traditional Utility
02/03/26,Rifkin Weiner Livingston LLC,15856.49,"House Economic Matters Committee; House Environment and Transportation Committee; House Government, Labor, and Elections (formerly House Health and Government Operations Committee)",Other Interest
02/04/26,Chesapeake Solar & Storage Association (CHESSA),5283.4,House Environment and Transportation Committee,Renewable Energy
02/04/26,Constellation,5496.26,House Economic Matters Committee,Traditional Utility
02/05/26,"Coalition for Community Solar Access, Inc.",3000.92,"Senate Education, Energy, and the Environment Committee (formerly Senate Education Health and Environmental Affairs Committee)",Renewable Energy
02/12/26,Chesapeake Solar & Storage Association (CHESSA),3868.35,"Senate Education, Energy, and the Environment Committee (formerly Senate Education Health and Environmental Affairs Committee)",Renewable Energy
02/17/26,Constellation,8130.51,"Senate Education, Energy, and the Environment Committee (formerly Senate Education Health and Environmental Affairs Committee)",Traditional Utility
02/17/26,Rifkin Weiner Livingston LLC,14589.86,House Appropriations Committee; House Ways and Means Committee,Other Interest
02/18/26,"Pepco Holdings, LLC.",5625.61,House Environment and Transportation Committee,Traditional Utility
02/18/26,Mid-Atlantic Renewable Energy Coalition Action (MAREC Action),3759.33,"Senate Education, Energy, and the Environment Committee (formerly Senate Education Health and Environmental Affairs Committee)",Renewable Energy
02/19/26,Rifkin Weiner Livingston LLC,8828.4,Anne Arundel County Delegation; Baltimore City Delegation; Baltimore County Delegation; Harford County Delegation; Lower Eastern Shore Delegation; Upper Eastern Shore Delegation,Other Interest
02/24/26,"Pepco Holdings, LLC.",2890.17,"Senate Education, Energy, and the Environment Committee (formerly Senate Education Health and Environmental Affairs Committee)",Traditional Utility
02/24/26,Mid-Atlantic Renewable Energy Coalition Action (MAREC Action),5572.1,House Environment and Transportation Committee,Renewable Energy
02/24/26,Advanced Energy United,9008.29,General Assembly,Renewable Energy
02/25/26,Rifkin Weiner Livingston LLC,7965.67,Carroll County Delegation; Howard County Delegation; Montgomery County Delegation; Southern Maryland Delegation; Western Maryland Delegation,Other Interest
02/25/26,Washington Gas,15003.75,"House Economic Matters Committee; Senate Education, Energy, and the Environment Committee (formerly Senate Education Health and Environmental Affairs Committee)",Traditional Utility
03/05/26,Chaberton Energy,3917.98,House Environment and Transportation Committee,Renewable Energy
03/10/26,"Coalition for Community Solar Access, Inc.",3677.24,House Environment and Transportation Committee,Renewable Energy
