committee,total_spent_2024-2025,total_spent_2025-2026,num_events_2024-2025,num_events_2025-2026,change_pct
General Assembly,1340140.83,644328.9599999998,94,69,-51.9
Senate Finance,172101.94999999995,396340.10999999975,29,32,130.3
Senate Budget & Tax,193707.77,363341.06999999995,33,25,87.6
House Appropriations,126108.94999999998,304559.72,17,11,141.5
House ENT,170943.13999999996,161096.94,14,20,-5.8
Senate EEE,197850.52000000002,143556.73,23,19,-27.4
House Economic Matters,218311.01,95399.92000000001,26,17,-56.3
House Ways & Means,124855.22,86331.49000000002,13,13,-30.9
House Judiciary,104428.97,33849.79,10,9,-67.6
Senate Judicial Proceedings,120509.50000000001,33002.21000000001,13,8,-72.6
