employer,total_spent,num_events,category
American Council of Engineering Companies/MD,31059.74,1,Other Interest
Maryland Farm Bureau,30800.0,1,Other Interest
Rifkin Weiner Livingston LLC,24213.96,2,Other Interest
Constellation,15130.51,2,Traditional Utility
Washington Gas,15003.75,1,Traditional Utility
Mid-Atlantic Renewable Energy Coalition Action (MAREC Action),9331.43,2,Renewable Energy
Chesapeake Solar & Storage Association (CHESSA),9151.75,2,Renewable Energy
"Pepco Holdings, LLC.",8515.779999999999,2,Traditional Utility
Baltimore Gas and Electric Company,8069.290000000001,2,Traditional Utility
Retail Energy Supply Association,8015.11,2,Other Interest
Maryland Transportation Builders and Materials Association,6802.61,1,Other Interest
"Coalition for Community Solar Access, Inc.",6678.16,2,Renewable Energy
"Choptank Electric Cooperative, Inc.",6110.47,1,Traditional Utility
"Uber Technologies, Inc.",5943.55,1,Other Interest
Delmarva Chicken Association,5533.87,2,Other Interest
"Lifebridge Health, Inc.",5181.17,1,Other Interest
"Maryland - American Water Company, Inc.",5082.76,1,Other Interest
Maryland Chamber of Commerce,4644.56,1,Other Interest
"G.S. Proctor & Associates, Inc.",4634.93,1,Other Interest
Coalition for High Performance Recycling,4312.81,1,Other Interest
Maryland Tech Council,4233.66,1,Other Interest
Kress Hammen Government Affairs,4000.0,1,Other Interest
Chaberton Energy,3917.98,1,Renewable Energy
"Mechanical Contractors Association of Maryland, Inc.",3362.4,1,Other Interest
"Nature Conservancy, The",2320.31,1,Other Interest
Chesapeake Utilities Corporation,2312.59,1,Traditional Utility
