organization_firm,total_spent,num_events,clients
"Compass Government Relations Partners, LLC",36187.65,8,"Coalition for Community Solar Access, Inc., Maryland - American Water Company, Inc., Mid-Atlantic Renewable Energy Coalition Action (MAREC Action), Chesapeake Solar & Storage Association (CHESSA), Uber Technologies, Inc."
Providence Strategies,31059.74,1,American Council of Engineering Companies/MD
Maryland Farm Bureau,30800.0,1,Maryland Farm Bureau
Rifkin Weiner Livingston LLC,24213.96,2,Rifkin Weiner Livingston LLC
"Capitol Strategies, LLC",15130.51,2,Constellation
PerryJacobson,15003.75,1,Washington Gas
"Pepco Holdings, LLC",8515.779999999999,2,"Pepco Holdings, LLC."
Baltimore Gas and Electric,8069.290000000001,2,Baltimore Gas and Electric Company
"Percy Public Affairs, LLC",8015.11,2,Retail Energy Supply Association
"Evans & Associates, LLC",6802.61,1,Maryland Transportation Builders and Materials Association
Choptank Electric Cooperative,6110.47,1,"Choptank Electric Cooperative, Inc."
Delmarva Chicken Association,5533.87,2,Delmarva Chicken Association
LifeBridge Health,5181.17,1,"Lifebridge Health, Inc."
Maryland Chamber of Commerce,4644.56,1,Maryland Chamber of Commerce
"G.S. Proctor & Associates, Inc. ",4634.93,1,"G.S. Proctor & Associates, Inc."
Bellamy Genn Group LLC,4312.81,1,Coalition for High Performance Recycling
"Schwartz, Metz, Wise & Kauffman, P.A.",4233.66,1,Maryland Tech Council
Kress Hammen Government Affairs,4000.0,1,Kress Hammen Government Affairs
"Funk & Bolton, P.A.",3917.98,1,Chaberton Energy
Cornerstone Government Affairs,3362.4,1,"Mechanical Contractors Association of Maryland, Inc."
The Nature Conservancy,2320.31,1,"Nature Conservancy, The"
Chesapeake Utilities Corporation,2312.59,1,Chesapeake Utilities Corporation
