date_label,event_date_parsed,num_events,total_spending,has_event
01/12/2026,2026-01-12,0,0,FALSE
01/13/2026,2026-01-13,0,0,FALSE
01/14/2026,2026-01-14,8,97398.67,TRUE
01/15/2026,2026-01-15,6,19828.44,TRUE
01/16/2026,2026-01-16,0,0,FALSE
01/17/2026,2026-01-17,0,0,FALSE
01/18/2026,2026-01-18,0,0,FALSE
01/19/2026,2026-01-19,0,0,FALSE
01/20/2026,2026-01-20,7,30762.739999999998,TRUE
01/21/2026,2026-01-21,8,42744.72,TRUE
01/22/2026,2026-01-22,11,52068.56,TRUE
01/23/2026,2026-01-23,0,0,FALSE
01/24/2026,2026-01-24,0,0,FALSE
01/25/2026,2026-01-25,0,0,FALSE
01/26/2026,2026-01-26,1,0,TRUE
01/27/2026,2026-01-27,5,36277.11,TRUE
01/28/2026,2026-01-28,9,56596.479999999996,TRUE
01/29/2026,2026-01-29,6,25585.96,TRUE
01/30/2026,2026-01-30,0,0,FALSE
01/31/2026,2026-01-31,1,289.84,TRUE
02/01/2026,2026-02-01,0,0,FALSE
02/02/2026,2026-02-02,1,3109.43,TRUE
02/03/2026,2026-02-03,8,106494.51999999999,TRUE
02/04/2026,2026-02-04,8,40858.19,TRUE
02/05/2026,2026-02-05,7,83757.34999999999,TRUE
02/06/2026,2026-02-06,0,0,FALSE
02/07/2026,2026-02-07,0,0,FALSE
02/08/2026,2026-02-08,0,0,FALSE
02/09/2026,2026-02-09,1,2389.62,TRUE
02/10/2026,2026-02-10,7,22850.95,TRUE
02/11/2026,2026-02-11,8,29391.060000000005,TRUE
02/12/2026,2026-02-12,6,28140.88,TRUE
02/13/2026,2026-02-13,1,17582.32,TRUE
02/14/2026,2026-02-14,0,0,FALSE
02/15/2026,2026-02-15,0,0,FALSE
02/16/2026,2026-02-16,1,103605.73,TRUE
02/17/2026,2026-02-17,9,53380.200000000004,TRUE
02/18/2026,2026-02-18,8,69151.06,TRUE
02/19/2026,2026-02-19,7,34001.96000000001,TRUE
02/20/2026,2026-02-20,0,0,FALSE
02/21/2026,2026-02-21,0,0,FALSE
02/22/2026,2026-02-22,0,0,FALSE
02/23/2026,2026-02-23,1,20467.83,TRUE
02/24/2026,2026-02-24,8,39691.58,TRUE
02/25/2026,2026-02-25,10,61875.95999999999,TRUE
02/26/2026,2026-02-26,5,27410.079999999998,TRUE
02/27/2026,2026-02-27,0,0,FALSE
02/28/2026,2026-02-28,0,0,FALSE
03/01/2026,2026-03-01,0,0,FALSE
03/02/2026,2026-03-02,3,23625.48,TRUE
03/03/2026,2026-03-03,3,8623.64,TRUE
03/04/2026,2026-03-04,11,50839.6,TRUE
03/05/2026,2026-03-05,5,23664,TRUE
03/06/2026,2026-03-06,0,0,FALSE
03/07/2026,2026-03-07,0,0,FALSE
03/08/2026,2026-03-08,0,0,FALSE
03/09/2026,2026-03-09,1,3203.21,TRUE
03/10/2026,2026-03-10,6,28219.16,TRUE
03/11/2026,2026-03-11,4,22851.54,TRUE
03/12/2026,2026-03-12,3,3796.4700000000003,TRUE
03/13/2026,2026-03-13,0,0,FALSE
03/14/2026,2026-03-14,0,0,FALSE
03/15/2026,2026-03-15,1,1224.25,TRUE
03/16/2026,2026-03-16,1,6579.84,TRUE
03/17/2026,2026-03-17,0,0,FALSE
03/18/2026,2026-03-18,2,7663.64,TRUE
03/19/2026,2026-03-19,1,1900,TRUE
03/20/2026,2026-03-20,0,0,FALSE
03/21/2026,2026-03-21,1,259374,TRUE
03/22/2026,2026-03-22,0,0,FALSE
03/23/2026,2026-03-23,1,4671.72,TRUE
03/24/2026,2026-03-24,1,19200,TRUE
03/25/2026,2026-03-25,5,9273.84,TRUE
03/26/2026,2026-03-26,0,0,FALSE
03/27/2026,2026-03-27,0,0,FALSE
03/28/2026,2026-03-28,1,87702.81,TRUE
03/29/2026,2026-03-29,0,0,FALSE
03/30/2026,2026-03-30,0,0,FALSE
03/31/2026,2026-03-31,0,0,FALSE
04/01/2026,2026-04-01,2,4316.96,TRUE
04/02/2026,2026-04-02,0,0,FALSE
04/03/2026,2026-04-03,0,0,FALSE
04/04/2026,2026-04-04,0,0,FALSE
04/05/2026,2026-04-05,0,0,FALSE
04/06/2026,2026-04-06,0,0,FALSE
04/07/2026,2026-04-07,0,0,FALSE
04/08/2026,2026-04-08,1,9275.11,TRUE
04/09/2026,2026-04-09,0,0,FALSE
04/10/2026,2026-04-10,1,180,TRUE
04/11/2026,2026-04-11,0,0,FALSE
04/12/2026,2026-04-12,0,0,FALSE
04/13/2026,2026-04-13,5,46506.36,TRUE
04/14/2026,2026-04-14,0,0,FALSE
04/15/2026,2026-04-15,1,1500,TRUE
04/16/2026,2026-04-16,0,0,FALSE
04/17/2026,2026-04-17,0,0,FALSE
